award_a,award_b,overlap_count,titles
AKU,HKM,0,
AKU,HON,0,
AKU,JRA,0,
AKU,KIK,0,
AKU,KMS,0,
AKU,NAO,0,
AKU,RAN,0,
AKU,YAM,0,
HKM,HON,0,
HKM,JRA,6,ミステリ・オペラ 宿命城殺人事件|葉桜の季節に君を想うということ|隻眼の少女|蟬かえる|大鞠家殺人事件
HKM,KIK,0,
HKM,KMS,8,葉桜の季節に君を想うということ|生首に聞いてみろ|容疑者Xの献身|涙香迷宮|屍人荘の殺人
HKM,NAO,1,黒牢城
HKM,RAN,0,
HKM,YAM,1,地雷グリコ
HON,JRA,0,
HON,KIK,0,
HON,KMS,1,ゴールデンスランバー
HON,NAO,1,蜜蜂と遠雷
HON,RAN,0,
HON,YAM,1,ゴールデンスランバー
JRA,KIK,0,
JRA,KMS,7,葉桜の季節に君を想うということ|地雷グリコ|伝説なき地|新宿鮫|OUT
JRA,NAO,1,カディスの赤い星
JRA,RAN,0,
JRA,YAM,4,地雷グリコ|エトロフ発緊急電|奪取|果断 隠蔽捜査2
KIK,KMS,0,
KIK,NAO,0,
KIK,RAN,0,
KIK,YAM,0,
KMS,NAO,3,黒牢城|私が殺した少女|マークスの山
KMS,RAN,0,
KMS,YAM,4,地雷グリコ|ゴールデンスランバー|砂のクロニクル|満願
NAO,RAN,1,テロリストのパラソル
NAO,YAM,3,邂逅の森|テスカトリポカ|木挽町のあだ討ち
RAN,YAM,0,
