author_id,author_name,author_name_kana,birth_year,death_year,notes
AUTR-000171,古川真人,,,,
AUTR-000172,高山羽根子,,,,
AUTR-000173,遠野遥,,,,
AUTR-000174,宇佐見りん,,,,
AUTR-000175,石沢麻依,,,,
AUTR-000176,李琴峰,,,,
AUTR-000177,砂川文次,,,,
AUTR-000178,高瀬隼子,,,,
AUTR-000179,井戸川射子,,,,
AUTR-000180,佐藤厚志,,,,
AUTR-000181,市川沙央,,,,
AUTR-000182,九段理江,,,,
AUTR-000183,朝比奈秋,,,,
AUTR-000184,松永K三郎,,,,
AUTR-000185,安堂ホセ,,,,
AUTR-000186,鈴木結生,,,,
AUTR-000187,川口松太郎,,,,
AUTR-000188,鷲尾雨工,,,,
AUTR-000189,海音寺潮五郎,,,,
AUTR-000190,木々高太郎,,,,
AUTR-000191,井伏鱒二,,,,
AUTR-000192,橘外男,,,,
AUTR-000193,大池唯雄,,,,
AUTR-000194,河内仙介,,,,
AUTR-000195,堤千代,,,,
AUTR-000196,村上元三,,,,
AUTR-000197,神崎武雄,,,,
AUTR-000198,田岡典夫,,,,
AUTR-000199,森荘已池,,,,
AUTR-000200,岡田誠三,,,,
AUTR-000201,富田常雄,,,,
AUTR-000202,山田克郎,,,,
AUTR-000203,小山いと子,,,,
AUTR-000204,今日出海,,,,
AUTR-000205,檀一雄,,,,
AUTR-000206,源氏鶏太,,,,
AUTR-000207,久生十蘭,,,,
AUTR-000208,柴田錬三郎,,,,
AUTR-000209,藤原審爾,,,,
AUTR-000210,立野信之,,,,
AUTR-000211,有馬頼義,,,,
AUTR-000212,戸川幸夫,,,,
AUTR-000213,梅崎春生,,,,
AUTR-000214,新田次郎,,,,
AUTR-000215,邱永漢,,,,
AUTR-000216,南條範夫,,,,
AUTR-000217,今官一,,,,
AUTR-000218,今東光,,,,
AUTR-000219,穂積驚勝,,,,
AUTR-000220,江崎誠致,,,,
AUTR-000221,榛葉英治,,,,
AUTR-000222,山崎豊子,,,,
AUTR-000223,多岐川恭,,,,
AUTR-000224,城山三郎,,,,
AUTR-000225,渡邊喜恵子,,,,
AUTR-000226,平岩弓枝,,,,
AUTR-000227,戸板康二,,,,
AUTR-000228,司馬遼太郎,,,,
AUTR-000229,池波正太郎,,,,
AUTR-000230,寺内大吉,,,,
AUTR-000231,黒岩重吾,,,,
AUTR-000232,水上勉,,,,
AUTR-000233,伊藤桂一,,,,
AUTR-000234,杉森久英,,,,
AUTR-000235,杉本苑子,,,,
